agent_code,agent_dob,agent_doj,agent_status,agent_education,agent_age,agent_tenure_days,agent_persistency,last_6_month_submissions,average_premium,is_reinstated,prev_persistency,num_complaints,target_completion_perc,has_contacted_in_last_6_months
60369576,,07-10-2016,Active,High School,36,1433,0.89,46,1113,0,0,8,0.9,1
60369572,,07-10-2016,Active,High School,36,1433,0.97,40,1429,0,0,8,0.87,1
60475892,06-04-1989,16-10-2019,Active,High School,31,329,0.82,24,982,0,0,8,0.96,1
60399135,05-07-1979,22-08-2017,Active,High School,41,1114,0.85,49,654,0,0,8,0.98,1
60415147,,13-02-2018,Active,Graduate,36,939,0.99,47,915,0,0,8,0.94,1
60489550,14-11-1972,27-02-2020,Active,Some College,48,195,0.97,52,1414,0,0,7,0.9,1
60369369,,30-09-2016,Active,Some College,36,1440,0.72,57,1231,0,0,8,0.84,1
60237659,,23-08-2012,Active,Some College,36,2923,0.72,46,1358,0,0,8,0.92,1
60407078,22-06-1983,22-11-2017,Active,Graduate,37,1006,0.83,52,979,0,0,8,0.89,1
60499783,12-10-1981,25-07-2020,Active,Graduate,39,30,0.92,54,782,0,0,4,0.83,0
60483766,07-02-1986,28-12-2019,Active,Some College,35,240,0.72,56,916,0,0,8,0.97,0
60483773,06-10-1997,28-12-2019,Active,Lt High School,23,240,0.64,23,686,0,0,13,0.91,1
60498569,10-08-1988,13-07-2020,Active,High School,32,42,0.64,38,2165,0,0,3,0.97,1
60237660,,23-08-2012,Active,Some College,36,2923,0.75,42,1246,0,0,8,0.83,0
60369404,,30-09-2016,Active,Graduate,36,1440,0.81,52,1325,0,0,8,0.81,1
60369015,,30-09-2016,Active,Graduate,36,1440,0.99,42,682,0,0,8,0.94,0
60374451,08-06-1986,08-12-2016,Active,High School,34,1371,0.84,18,1126,0,0,8,0.8,1
60395103,20-08-1992,15-07-2017,Active,Lt High School,28,1152,0.59,16,1296,0,0,30,0.81,1
60406485,21-02-1976,16-11-2017,Active,High School,45,1028,0.97,48,330,0,0,7,0.86,1
60379040,01-01-1978,20-01-2017,Active,High School,43,1328,0.86,49,1002,0,0,8,0.93,1
60464608,25-02-1974,15-07-2019,Active,High School,47,422,0.9,48,1797,0,0,5,0.84,1
60474031,28-03-1972,27-09-2019,Active,High School,48,348,0.71,44,1462,0,0,8,0.9,0
60496290,04-05-1966,17-06-2020,Active,Graduate,54,89,0.73,55,1362,0,0,8,0.97,1
60367454,,22-09-2016,Active,High School,36,1453,0.8,53,1202,0,0,8,0.94,1
60428363,20-05-1975,18-07-2018,Active,Lt High School,45,789,0.87,57,751,1,0.73,29,0.88,1
60455529,11-05-1989,08-04-2019,Active,Some College,31,525,0.89,15,1942,1,0.77,8,0.82,1
60457266,01-08-1989,09-05-2019,Active,Graduate,31,494,0.81,34,1423,0,0,8,0.94,0
60463969,10-09-1987,05-07-2019,Active,Some College,33,437,0.59,18,1084,0,0,8,0.83,1
60475721,23-05-1982,14-10-2019,Active,High School,38,351,0.8,43,667,0,0,8,0.94,1
60506681,20-01-1985,24-09-2020,Active,Some College,36,5,0.78,40,358,0,0,4,0.86,0
60369405,,30-09-2016,Active,Some College,36,1460,0.79,55,1279,0,0,8,0.95,1
60492879,11-01-1992,26-04-2020,Active,Some College,29,156,0.73,17,576,0,0,3,0.82,1
60369582,,07-10-2016,Active,High School,36,1453,0.92,57,1061,1,0.94,8,0.93,0
60478356,12-10-1969,12-11-2019,Active,Some College,51,322,0.76,46,1039,0,0,8,0.82,1
60501593,02-05-1981,11-08-2020,Active,Graduate,39,49,0.94,52,1121,1,0.78,4,0.86,0
60362605,28-02-1975,08-08-2016,Active,Some College,46,1478,0.87,58,1043,0,0,6,0.83,0
60478352,01-08-1977,12-11-2019,Active,High School,43,287,0.98,48,1117,0,0,8,0.8,0
60358756,01-04-1975,04-07-2016,Active,Graduate,45,1513,0.88,55,1438,1,0.75,8,0.88,1
60478365,24-05-1977,12-11-2019,Active,Graduate,43,287,0.96,43,1108,0,0,8,0.8,1
60491071,09-07-1990,16-03-2020,Active,Graduate,30,162,0.62,36,406,1,0.71,4,0.97,1
60396086,,24-07-2017,Active,High School,36,1128,0.87,58,1061,0,0,8,0.83,1
60053955,05-04-1980,29-01-2007,Active,High School,40,4957,0.87,54,305,0,0,7,0.95,0
60367457,,22-09-2016,Active,Graduate,36,1453,0.87,41,1457,0,0,8,0.84,1
60378096,06-01-1989,10-01-2017,Active,Graduate,32,1343,0.79,20,578,0,0,8,0.93,1
60429422,19-05-1990,26-07-2018,Active,Graduate,30,781,0.66,40,1269,0,0,8,0.87,1
60490859,20-12-1990,13-03-2020,Active,Some College,30,185,0.61,40,1631,0,0,8,0.96,1
60471921,13-05-1979,11-09-2019,Active,High School,41,369,0.94,51,1493,1,0.9,8,0.97,0
60481400,01-07-1985,06-12-2019,Active,High School,35,298,0.97,55,1222,0,0,4,0.85,1
60497056,01-01-2000,25-06-2020,Active,Graduate,21,96,0.7,15,281,0,0,8,0.94,0
60376449,21-04-1984,27-12-2016,Active,Graduate,36,1372,1,48,1246,1,0.86,8,0.95,1
60382071,13-03-1979,16-02-2017,Active,Graduate,42,1321,0.91,48,1098,0,0,8,0.94,1
60214729,02-08-1984,27-07-2011,Active,High School,36,3352,0.73,45,734,0,0,5,0.91,1
60504230,09-07-1992,04-09-2020,Active,Lt High School,28,25,0.83,15,190,0,0,9,0.84,0
60369420,,30-09-2016,Active,Some College,36,1460,0.86,56,978,0,0,8,0.89,1
60369373,,30-09-2016,Active,Some College,36,1460,0.94,54,1399,0,0,8,0.88,1
60460114,12-01-1983,06-06-2019,Active,Some College,38,466,0.99,50,983,1,0.98,8,0.9,1
60393168,,27-06-2017,Active,Graduate,36,1175,0.93,57,1923,1,0.8,8,0.9,0
60366675,04-12-1983,19-09-2016,Active,Graduate,37,1456,0.79,48,2046,1,0.83,4,0.96,1
60455839,07-06-1975,17-04-2019,Active,High School,45,516,0.86,50,587,0,0,8,0.91,0
60497903,08-06-1989,04-07-2020,Active,Some College,31,72,0.67,34,6144,0,0,7,0.95,0
60461081,30-12-1995,18-06-2019,Active,High School,25,454,0.6,20,3712,1,0.71,7,0.89,0
60246196,21-06-1994,26-12-2012,Active,Graduate,26,2819,0.52,30,2866,0,0,5,0.86,1
60408916,05-05-1989,07-12-2017,Active,Some College,31,1027,0.67,37,1979,1,0.57,8,0.95,1
60477058,24-10-1996,28-10-2019,Active,Some College,24,337,0.7,39,637,0,0,5,0.9,0
60435099,02-05-1994,25-09-2018,Active,Graduate,26,735,0.74,33,205,0,0,7,0.81,1
60359691,15-02-1974,18-07-2016,Active,Graduate,47,1534,0.89,47,2943,0,0,5,0.91,1
60500669,20-12-1999,03-08-2020,Active,Some College,21,57,0.7,32,243,0,0,5,0.84,1
60407057,13-09-1990,22-11-2017,Active,Some College,30,1042,0.74,15,914,0,0,8,0.95,1
60462635,01-06-1996,27-06-2019,Active,High School,24,460,0.62,16,554,0,0,7,0.89,0
60395111,16-11-1976,17-07-2017,Active,Graduate,44,1170,0.94,57,1074,0,0,8,0.95,0
60487563,01-06-1976,10-02-2020,Active,Some College,44,248,0.71,42,2145,0,0,8,0.85,1
60505722,01-09-1993,17-09-2020,Active,Some College,27,28,0.56,20,853,0,0,3,0.86,1
60223947,10-09-1996,09-12-2011,Active,High School,24,3233,0.55,22,207,0,0,0,0.93,0
60502705,08-04-1978,21-08-2020,Active,Graduate,43,75,0.89,44,3162,0,0,8,0.92,1
60489838,30-06-1977,28-02-2020,Active,High School,43,250,0.85,49,808,0,0,8,0.81,1
60501091,11-01-1988,07-08-2020,Active,Some College,33,89,0.78,23,1837,0,0,5,0.81,0
60497586,06-08-1993,30-06-2020,Active,High School,27,127,0.6,39,1360,0,0,8,0.81,0
60409971,05-11-1987,19-12-2017,Active,Lt High School,33,1051,0.52,25,901,0,0,30,0.95,0
60410166,15-05-1977,20-12-2017,Active,Graduate,44,1050,0.87,50,1465,1,0.75,7,0.92,0
60507516,24-07-1999,29-09-2020,Active,Graduate,21,36,0.71,38,1061,0,0,4,0.89,1
60424809,16-01-1996,11-06-2018,Active,High School,25,893,0.83,37,570,1,0.76,2,0.88,0
60445063,24-01-1979,09-01-2019,Active,High School,42,681,0.87,49,1250,0,0,8,0.94,0
60453001,03-05-1972,15-03-2019,Active,Lt High School,49,616,0.91,49,932,0,0,13,0.88,1
60369416,,30-09-2016,Active,High School,36,1513,0.79,57,1488,0,0,8,0.85,1
60508968,07-01-1986,15-10-2020,Active,High School,35,36,0.79,50,1736,0,0,4,0.87,1
60510571,01-01-1974,19-11-2020,Active,Graduate,47,1,0.86,45,818,0,0,2,0.84,0
60324573,16-08-1968,31-07-2015,Active,Some College,52,1939,0.74,52,520,0,0,0,0.92,1
60482280,19-09-1959,16-12-2019,Active,High School,61,340,0.8,43,1092,0,0,8,0.89,1
60369366,,30-09-2016,Active,Some College,36,1516,0.97,46,1594,0,0,8,0.9,1
60326053,29-05-1986,21-08-2015,Active,High School,35,1922,0.72,49,563,0,0,1,0.96,1
60495969,01-08-1969,12-06-2020,Active,Graduate,51,165,0.81,42,1235,0,0,7,0.87,0
60487268,11-07-1975,05-02-2020,Active,Graduate,45,293,0.99,46,3620,0,0,7,0.92,0
60369427,,30-09-2016,Active,Graduate,36,1516,0.96,59,2677,0,0,8,0.81,1
60469031,14-08-1979,22-08-2019,Active,High School,41,460,1,55,1052,0,0,2,0.88,1
60465681,12-11-1981,24-07-2019,Active,Lt High School,39,489,0.82,42,863,0,0,13,0.85,1
60174932,02-08-1983,28-04-2010,Active,Lt High School,37,3822,0.83,47,735,0,0,12,0.85,1
60369215,09-04-1998,30-09-2016,Active,Some College,23,1475,0.8,22,834,0,0,8,0.95,0
60459458,26-10-1984,31-05-2019,Active,High School,36,502,0.86,47,985,0,0,8,0.84,1
60369574,,07-10-2016,Active,Some College,36,1468,0.78,57,867,1,0.9,8,0.85,1
60481863,05-01-1996,11-12-2019,Active,High School,25,308,0.72,27,6299,0,0,3,0.85,1
60502037,01-01-1981,15-08-2020,Active,Graduate,40,60,0.97,43,227,0,0,2,0.84,1
60369421,,30-09-2016,Active,High School,36,1475,0.95,42,979,0,0,8,0.83,1
60481856,30-05-1989,11-12-2019,Active,Some College,31,321,0.89,32,1343,1,0.64,7,0.82,0
60509477,01-11-1986,22-10-2020,Active,Graduate,34,5,0.52,37,1500,0,0,7,0.85,1
60509391,08-04-1989,20-10-2020,Active,High School,32,7,0.6,33,413,0,0,8,0.63,0
60503829,12-01-1999,31-08-2020,Active,High School,22,57,0.68,36,1106,0,0,6,0.96,1
60475048,06-05-1986,04-10-2019,Active,Lt High School,35,389,0.89,56,988,0,0,12,0.96,1
60383336,01-08-1988,25-02-2017,Active,Lt High School,32,1340,0.68,16,1679,0,0,30,0.83,0
60482544,30-07-1986,18-12-2019,Active,High School,34,314,0.88,16,653,0,0,8,0.84,0
60487910,27-04-1995,13-02-2020,Active,High School,26,281,0.66,30,2629,1,0.8,6,0.95,0
60504150,03-11-1997,04-09-2020,Active,High School,23,77,0.53,24,565,0,0,2,0.81,1
60405055,17-05-1993,27-10-2017,Active,High School,28,1120,0.51,15,345,1,0.74,6,0.87,1
60369411,,30-09-2016,Active,High School,36,1512,0.88,49,877,0,0,8,0.95,1
60462098,20-05-1992,25-06-2019,Active,Graduate,29,514,0.85,37,900,0,0,6,0.88,1
60509966,25-04-1985,05-11-2020,Active,High School,36,15,0.89,54,1826,0,0,3,0.95,1
60501801,01-10-1989,13-08-2020,Active,Lt High School,31,83,0.7,36,715,1,0.89,13,0.91,0
60307596,16-06-1984,31-01-2015,Active,Some College,36,2104,0.72,57,1151,0,0,7,0.9,1
60430537,11-10-1985,06-08-2018,Active,Graduate,35,821,0.81,55,1959,0,0,8,0.94,1
60495896,28-09-1996,12-06-2020,Active,Lt High School,24,145,0.64,15,568,0,0,13,0.93,1
60381763,25-01-1990,13-02-2017,Active,Graduate,31,1360,0.85,40,2336,0,0,6,0.84,1
60490824,08-04-1966,13-03-2020,Active,Some College,55,236,0.86,49,1144,0,0,8,0.85,1
60346241,18-12-1970,24-02-2016,Active,High School,50,1695,0.79,50,1237,0,0,3,0.81,0
60451601,17-04-1979,28-02-2019,Active,Lt High School,42,595,0.89,60,645,1,0.84,13,0.94,0
60505736,01-05-1961,18-09-2020,Active,High School,59,27,0.96,45,814,0,0,6,0.81,1
60504743,15-11-1990,08-09-2020,Active,Graduate,30,37,0.84,35,196,0,0,2,0.87,0
60396731,01-01-1983,27-07-2017,Active,Graduate,38,1176,0.85,53,460,0,0,5,0.95,1
60000003,,20-08-2001,Active,Some College,36,6995,0.9,51,4519,0,0,8,0.87,0
60447266,19-08-1978,28-01-2019,Active,Lt High School,42,625,0.94,43,1798,0,0,12,0.94,1
60426117,26-06-1991,25-06-2018,Active,High School,29,842,0.69,20,819,0,0,3,0.96,1
60507855,04-01-1985,30-09-2020,Active,High School,36,14,0.8,59,1122,1,0.8,7,0.97,1
60475384,12-07-1992,11-10-2019,Active,Lt High School,28,369,0.79,25,351,0,0,13,0.97,0
60510359,25-05-1993,13-11-2020,Active,Some College,28,11,0.8,25,5824,0,0,7,0.86,0
60482820,16-10-1975,20-12-2019,Active,Graduate,45,340,1,56,1230,0,0,8,0.9,1
60509582,11-05-1993,27-10-2020,Active,Lt High School,28,28,0.83,20,235,1,0.9,8,0.91,0
60459459,12-01-1985,31-05-2019,Active,Lt High School,36,543,0.93,56,875,0,0,13,0.94,1
60096944,30-09-1978,25-02-2008,Active,High School,42,4656,0.9,55,2059,0,0,7,0.89,1
60376452,01-06-1975,27-12-2016,Active,Some College,46,1428,0.83,45,1088,1,0.79,8,0.85,1
60369422,,30-09-2016,Active,Lt High School,36,1516,0.94,58,1295,1,0.98,30,0.81,0
60428312,29-02-1964,17-07-2018,Active,High School,57,857,0.94,60,2387,0,0,5,0.84,1
60509250,22-09-1960,19-10-2020,Active,Lt High School,60,32,0.75,51,2713,0,0,10,0.9,1
60369580,,07-10-2016,Active,High School,36,1505,0.76,56,838,0,0,8,0.81,1
60399466,12-02-1987,24-08-2017,Active,High School,34,1184,0.72,39,1900,1,0.85,7,0.96,1
60510554,26-06-1969,19-11-2020,Active,High School,51,1,0.82,40,1276,1,0.83,1,0.8,1
60504520,04-01-1978,07-09-2020,Active,High School,43,74,0.88,49,1245,0,0,7,0.95,1
60071552,17-03-1976,27-06-2007,Active,High School,45,4895,0.72,44,1618,0,0,6,0.86,0
60474927,11-04-1994,30-09-2019,Active,High School,27,393,0.68,34,1241,0,0,6,0.87,0
60506994,08-12-1994,26-09-2020,Active,Some College,26,31,0.61,18,854,0,0,8,0.8,1
60458544,17-07-1995,24-05-2019,Active,High School,25,522,0.8,25,1076,0,0,8,0.84,1
60374449,23-05-1974,08-12-2016,Active,Some College,46,1419,0.88,50,1093,0,0,8,0.9,1
60436282,19-02-1955,30-09-2018,Active,Some College,66,743,0.84,52,501,1,0.76,6,0.94,0
60287801,14-07-1983,30-05-2014,Active,Some College,37,2327,0.76,46,854,0,0,8,0.91,1
60489923,23-12-1984,29-02-2020,Active,Graduate,36,226,0.75,55,877,0,0,0,0.82,0
60408454,,04-12-2017,Active,Graduate,36,1043,0.7,54,1047,1,0.98,8,0.94,1
60433521,07-02-1984,10-09-2018,Active,High School,37,763,0.86,59,3186,0,0,6,0.87,1
60407383,21-07-1978,24-11-2017,Active,Graduate,42,1053,0.73,42,927,0,0,8,0.89,1
60495879,07-05-1986,12-06-2020,Active,High School,34,122,0.64,32,1486,0,0,5,0.88,0
60455753,14-10-1962,16-04-2019,Active,Some College,58,540,0.97,47,756,0,0,6,0.89,0
60485245,15-11-1984,17-01-2020,Active,Some College,36,264,0.85,43,1657,1,0.83,7,0.9,0
60369406,,30-09-2016,Active,High School,36,1468,0.99,46,1889,0,0,8,0.87,1
60408900,11-02-1994,07-12-2017,Active,High School,27,1035,0.55,33,747,0,0,8,0.86,1
60369382,,30-09-2016,Active,Some College,36,1468,0.75,51,1613,0,0,8,0.85,1
60507776,20-09-1999,30-09-2020,Active,Some College,21,7,0.76,26,237,0,0,8,0.86,1
60369581,,07-10-2016,Active,Some College,36,1461,0.78,55,1171,0,0,8,0.93,1
60310575,14-09-1982,16-03-2015,Active,Some College,38,2037,0.98,55,2209,1,0.83,2,0.91,1
60501507,21-07-1988,11-08-2020,Active,High School,32,62,0.57,36,508,0,0,5,0.93,0
60460173,31-12-1985,07-06-2019,Active,High School,35,493,0.95,57,1547,0,0,7,0.95,1
60369578,,07-10-2016,Active,High School,36,1466,0.73,40,729,0,0,8,0.95,1
60471588,15-01-1993,07-09-2019,Active,High School,28,401,0.64,25,688,0,0,8,0.85,1
60269307,28-02-1982,27-09-2013,Active,Graduate,39,2572,0.92,60,889,0,0,8,0.96,0
60369583,,07-10-2016,Active,High School,36,1461,0.92,53,993,0,0,8,0.91,0
60369409,,30-09-2016,Active,Graduate,36,1468,0.72,58,1614,1,0.87,8,0.86,1
60376196,,26-12-2016,Active,Some College,36,1381,0.79,47,1569,0,0,8,0.87,1
60334196,08-09-1986,05-11-2015,Active,High School,34,1798,0.85,38,865,0,0,8,0.81,0
60427066,09-05-1999,29-06-2018,Active,Graduate,21,814,0.7,36,706,0,0,8,0.93,0
60245730,02-07-1965,20-12-2012,Active,Some College,55,2831,0.97,58,1284,0,0,0,0.86,1
60495454,25-05-1981,04-06-2020,Active,Graduate,39,108,0.85,41,388,0,0,8,0.83,1
60435712,06-08-1984,28-09-2018,Active,Some College,36,723,0.73,56,892,0,0,8,0.87,1
60110617,05-09-1962,27-06-2008,Active,Some College,58,4468,0.91,60,726,1,0.83,8,0.83,1
60462572,20-11-1995,27-06-2019,Active,High School,25,473,0.88,15,846,1,0.77,8,0.97,1
60499109,26-11-1981,18-07-2020,Active,Some College,39,86,0.99,42,833,0,0,6,0.8,1
60317589,02-10-1964,04-06-2015,Active,High School,56,1957,0.87,57,2720,1,0.8,8,0.87,0
60439398,05-09-1985,13-11-2018,Active,Graduate,35,699,0.88,52,1821,0,0,8,0.88,1
60369577,,07-10-2016,Active,Graduate,36,1466,0.92,42,862,0,0,8,0.87,1
60361356,30-05-1995,28-07-2016,Active,High School,25,1537,0.66,34,472,0,0,8,0.81,1
60354169,05-10-1983,30-05-2016,Active,Graduate,37,1596,0.73,44,2585,1,0.78,3,0.83,0
60400259,27-05-1979,30-08-2017,Active,Some College,41,1139,0.91,40,4327,0,0,6,0.88,0
60443927,11-01-1976,28-12-2018,Active,Some College,45,654,0.71,58,1941,0,0,8,0.87,1
60506995,24-04-1986,26-09-2020,Active,Some College,34,16,0.55,29,450,1,0.62,5,0.88,1
60508459,02-08-1992,07-10-2020,Active,High School,28,5,0.65,22,726,0,0,8,0.94,1
60478354,20-02-1981,12-11-2019,Active,High School,40,313,0.97,57,1146,0,0,8,0.89,1
60483147,02-01-1977,24-12-2019,Active,High School,44,271,0.83,48,326,0,0,5,0.86,1
60251883,07-07-1979,08-03-2013,Active,Some College,41,2753,0.9,42,821,0,0,8,0.93,1
60403512,01-06-1959,28-09-2017,Active,Some College,61,1089,1,50,1716,0,0,8,0.91,0
60073631,06-02-1974,23-07-2007,Active,Some College,47,4809,0.95,57,539,0,0,7,0.86,1
60507602,22-12-1984,30-09-2020,Active,Graduate,36,12,0.84,43,511,1,0.79,8,0.86,1
60450975,05-09-1991,25-02-2019,Active,High School,29,595,0.57,38,5018,1,0.68,7,0.88,1
60293985,16-10-1984,22-08-2014,Active,High School,36,2243,0.8,51,546,0,0,3,0.9,0
60492526,02-12-1990,25-04-2020,Active,High School,30,170,0.85,35,749,0,0,5,0.97,1
60371597,30-03-1962,03-11-2016,Active,Graduate,59,1439,0.73,53,603,0,0,8,0.97,1
60491401,15-07-1987,20-03-2020,Active,High School,33,206,0.64,29,1338,0,0,2,0.87,0
60116744,10-06-1973,19-08-2008,Active,High School,47,4432,0.74,59,1179,0,0,6,0.84,0
60475654,08-02-1997,13-10-2019,Active,High School,24,360,0.71,27,5148,0,0,8,0.86,1
60505990,27-12-1983,18-09-2020,Active,High School,37,19,0.96,57,422,0,0,8,0.95,0
60495937,31-05-1989,12-06-2020,Active,Some College,31,117,0.72,34,957,0,0,8,0.87,1
60503103,04-06-1989,25-08-2020,Active,Lt High School,31,43,0.57,19,374,0,0,10,0.67,1
60495480,22-11-1994,05-06-2020,Active,Graduate,26,124,0.79,30,519,0,0,8,0.84,0
60505469,28-11-1995,15-09-2020,Active,Graduate,25,15,0.67,18,336,1,0.86,0,0.95,1
60501802,19-01-1989,13-08-2020,Active,Some College,32,48,0.61,15,1412,0,0,8,0.88,0
60351692,10-05-1982,29-04-2016,Active,Some College,38,1615,0.98,45,687,1,0.79,8,0.91,1
60503148,10-07-1990,25-08-2020,Active,High School,30,36,0.85,18,346,0,0,8,0.97,0
60359087,12-09-1987,11-07-2016,Active,Lt High School,33,1542,0.71,31,1703,0,0,30,0.84,1
60501036,01-01-1995,07-08-2020,Active,Some College,26,54,0.59,36,735,0,0,8,0.84,0
60097492,08-07-1979,28-02-2008,Active,Graduate,41,4598,0.88,54,712,0,0,6,0.9,1
60463364,01-06-1959,29-06-2019,Active,High School,61,450,0.92,59,1064,0,0,8,0.87,0
60491808,27-03-1995,18-04-2020,Active,High School,25,86,0.67,30,876,0,0,8,0.85,1
60489035,05-05-1990,25-02-2020,Active,Some College,30,127,0.68,29,411,0,0,6,0.85,0
60357871,10-01-1983,28-06-2016,Active,High School,37,1464,0.77,56,543,1,0.77,6,0.91,1
60217451,08-12-1985,29-08-2011,Active,Some College,35,3230,0.72,53,702,0,0,7,0.96,1
60218933,22-06-1983,14-09-2011,Active,Lt High School,37,3214,0.87,54,3160,0,0,23,0.88,1
60447306,24-06-1980,29-01-2019,Active,Graduate,40,520,0.83,51,263,0,0,0,0.9,1
60332204,14-01-1977,20-10-2015,Active,High School,43,1717,0.89,58,844,0,0,6,0.96,0
60454145,10-01-1970,25-03-2019,Active,Some College,51,465,0.89,48,1782,0,0,6,0.82,0
60331563,,07-10-2015,Active,High School,36,1730,0.77,58,1147,0,0,8,0.82,1
60467409,17-07-1970,31-07-2019,Active,High School,50,336,0.86,58,413,0,0,8,0.94,1
60004458,01-04-1968,13-05-2003,Active,Graduate,52,6259,0.84,57,2025,0,0,7,0.86,1
60371352,25-09-1979,28-10-2016,Active,Lt High School,41,1343,0.73,55,1641,0,0,19,0.92,0
60400896,26-06-1972,06-09-2017,Active,High School,48,1030,0.81,49,852,0,0,8,0.9,1
60294639,24-08-1982,27-08-2014,Active,Lt High School,38,2136,0.85,56,2027,1,0.96,29,0.84,0
60496946,24-01-1989,24-06-2020,Active,Lt High School,31,8,0.68,29,353,0,0,10,0.9,0
60376147,20-06-1988,26-12-2016,Active,High School,32,1292,0.75,27,658,0,0,8,0.8,1
60440941,05-05-1979,28-11-2018,Active,Graduate,41,581,0.95,51,951,1,0.8,8,0.97,1
60466235,19-03-1961,26-07-2019,Active,Graduate,59,341,0.92,59,116,0,0,5,0.93,1
60449328,08-04-1993,13-02-2019,Active,High School,27,504,0.67,39,768,0,0,8,0.81,1
60497590,15-08-1978,30-06-2020,Active,Graduate,42,2,0.79,58,793,1,0.99,7,0.96,1
60484637,26-03-1996,07-01-2020,Active,High School,24,177,0.85,34,691,0,0,8,0.93,1
60352673,14-11-1966,16-05-2016,Active,High School,54,1508,0.81,48,2223,0,0,8,0.84,0
60352698,10-12-1984,17-05-2016,Active,High School,36,1507,0.85,44,1521,0,0,3,0.84,1
60448659,12-06-1991,07-02-2019,Active,Lt High School,29,511,0.62,38,1407,0,0,12,0.93,1
60478207,11-05-1990,11-11-2019,Active,Some College,30,234,0.77,19,832,0,0,6,0.91,0
60332214,,20-10-2015,Active,High School,36,1717,0.96,53,1113,0,0,8,0.87,1
60093785,13-06-1987,01-02-2008,Active,Lt High School,33,4535,0.82,25,1621,0,0,27,0.89,0
60471253,15-02-1991,05-09-2019,Active,Lt High School,29,301,0.9,35,2267,0,0,13,0.95,1
60495881,30-11-1991,12-06-2020,Active,Lt High School,29,20,0.87,20,292,0,0,5,0.89,1
60486595,02-05-1986,29-01-2020,Active,Some College,34,155,0.66,40,974,1,0.61,6,0.89,1
60281694,24-06-1971,24-02-2014,Active,Graduate,49,2320,0.7,41,1026,0,0,8,0.97,1
60477781,10-08-1987,05-11-2019,Active,Some College,33,240,0.55,33,1768,0,0,8,0.86,1
60461933,13-12-1994,24-06-2019,Active,Graduate,26,374,0.61,29,1482,0,0,8,0.81,1
60399476,13-06-1986,24-08-2017,Active,High School,34,1043,0.54,32,1336,1,0.8,5,0.9,1
60439932,01-01-1988,20-11-2018,Active,High School,33,590,0.58,40,961,0,0,8,0.96,0
60493668,01-06-1956,05-05-2020,Active,Lt High School,64,58,0.84,56,147,0,0,9,0.91,0
60497591,06-07-1990,30-06-2020,Active,Some College,30,2,0.65,21,1662,0,0,7,0.95,0
60486432,01-01-1995,28-01-2020,Active,Lt High School,26,156,0.53,28,349,0,0,12,0.68,1
60495401,11-07-1989,02-06-2020,Active,Some College,31,30,0.81,21,666,0,0,7,0.83,1
60423562,09-05-1973,26-05-2018,Active,High School,47,768,0.84,60,1330,0,0,8,0.85,1
60475535,08-08-1992,12-10-2019,Active,Graduate,28,263,0.62,37,793,0,0,5,0.92,1
60497753,16-07-1988,30-06-2020,Active,Graduate,32,1,0.86,38,552,0,0,4,0.87,0
60495774,17-11-1995,11-06-2020,Active,Some College,25,20,0.81,36,810,0,0,8,0.82,1
60493369,16-02-1992,30-04-2020,Active,Lt High School,28,62,0.7,36,257,0,0,13,0.91,1
60466846,23-06-1976,29-07-2019,Active,High School,44,339,0.95,46,1006,0,0,8,0.96,0
60465549,11-05-1986,23-07-2019,Active,Lt High School,34,345,0.68,23,457,0,0,12,0.81,1
60488941,20-11-1987,24-02-2020,Active,Lt High School,33,129,0.75,40,353,0,0,11,0.97,0
